Référence;Désignation;Marque;Famille;Sous-famille;
IB0301001;Interface Haldex EB+;ISF-BOX;AUTRES;;AUTRES
IB0301002;Interface Haldex ABS avec câbles Modal et Modular;ISF-BOX;AUTRES;;AUTRES
IB0302001;Interface Knorr-Bremse;ISF-BOX;AUTRES;;AUTRES
IB0303001;Interface Wabco USB avec cordon USB;ISF-BOX;AUTRES;;AUTRES
IB0303002;Interface WW;ISF-BOX;AUTRES;;AUTRES
IB0303003;Interface WW+W;ISF-BOX;AUTRES;;AUTRES
IB0304001;ENREGISTREUR USB HUMIDITE;ISF-BOX;AUTRES;;AUTRES
IB0501001;PERIME Modem RTC Olitec Speedcom Ready USB v2;ISF-BOX;AUTRES;;AUTRES
IB0501003;Modem GSM;ISF-BOX;AUTRES;;AUTRES
IB0501004;Modem RTC;ISF-BOX;AUTRES;;AUTRES
IB0501005;Modem-routeur WiFi WAG160N              Linksys;ISF-BOX;AUTRES;;AUTRES
IB0501006;Modem-routeur WiFi WAG320N              Linksys;ISF-BOX;AUTRES;;AUTRES
IB0501007;Modem 3G clé USB;ISF-BOX;AUTRES;;AUTRES
IB0501008;CAMERA ISFBOX                           BS;ISF-BOX;AUTRES;;AUTRES
IB0501009;REPETEUR WIFI                           DAP 1320 - DLINK;ISF-BOX;AUTRES;;AUTRES
IB0501010;FILTRE ADSL POUR ISF-BOX®;ISF-BOX;AUTRES;;AUTRES
IB0501011;Modem-routeur WiFi D6300                Netgear;ISF-BOX;AUTRES;;AUTRES
IB0501012;MODEM/ROUTEUR LINKSYS3500               N750;ISF-BOX;AUTRES;;AUTRES
IB0501013;ROUTEUR WIFI 4G;DIVERS;AUTRES;;AUTRES
IB0501014;MODEM/ROUTEUR ORANGE 4G;ISF-BOX;AUTRES;;AUTRES
IB0503002;Adapateur Bluetooth USB                 pour module ibTrucks;ISF-BOX;AUTRES;;AUTRES
IB0503003;Adaptateur WIFI USB avec antenne;ISF-BOX;AUTRES;;AUTRES
IB0503004;Adaptateur WIFI USB avec antenne à clips;ISF-BOX;AUTRES;;AUTRES
IB0503005;Adaptateur WIFI USB antenne intégrée;ISF-BOX;AUTRES;;AUTRES
IB0503006;Antenne WiFi pour façade;ISF-BOX;DIVERS;;DIVERS
IB0503100;Antenne WiFi dual band 108mm;ISF-BOX;AUTRES;;AUTRES
IB0503200;Carte WiFi+Bluetooth PCIe module;ISF-BOX;AUTRES;;AUTRES
IB0504004;SYNERG;DI;AUTRES;;AUTRES
IB0601001;Convertisseur de tension  24 V vers 12 V;ISF-BOX;AUTRES;;AUTRES
IB0601002;Carte alimentation PC;ISF-BOX;AUTRES;;AUTRES
IB0601003;Transformateur 230V/12V+câble secteur;ISF-BOX;AUTRES;;AUTRES
IB0601004;Chargeur de batterie pour isf-power-box;ISF-BOX;AUTRES;;AUTRES
IB0601010;Batterie pour isf-power-box;ISF-BOX;AUTRES;;AUTRES
IB0601011;Pile pour carte mère                    CR2032;ISF-BOX;AUTRES;;AUTRES
IB0602001;Porte-fusibe d12,5mm à vis affleurante pour fusible 5x20 mm;ISF-BOX;AUTRES;;AUTRES
IB0602002;DISJONCTEUR THERMIQUE 6.5A;ISF-BOX;AUTRES;;AUTRES
IB0603001;Fusible 5x20 mm 2 A;ISF-BOX;AUTRES;;AUTRES
IB0604001;Bouton poussoir 'Départ/Fin';ISF-BOX;AUTRES;;AUTRES
IB0604002;Interrupteur général à clipser découpe 30x22 mm;ISF-BOX;AUTRES;;AUTRES
IB0604003;Interrupteur lumineux rouge;ISF-BOX;AUTRES;;AUTRES
IB0604004;Interrupteur lumineux vert;ISF-BOX;AUTRES;;AUTRES
IB0604005;Interrupteur isfpowerbox noir;ISF-BOX;AUTRES;;AUTRES
IB0604010;Bouton poussoir options 24 S            isf power box;ISF-BOX;AUTRES;;AUTRES
IB0604011;BOUTON 24S M/A;ISF-PBOX;AUTRES;;AUTRES
IB0604012;INTERRUPTEUR ETANCHE IP65;ISF-BOX;AUTRES;;AUTRES
IB0701001;Embase châssis mâle secteur + terre     (cosses 4,8 mm);ISF-BOX;AUTRES;;AUTRES
IB0701002;Fiche cordon XLR femelle 3 plots;ISF-BOX;AUTRES;;AUTRES
IB0701003;Fiche cordon XLR mâle 3 plots;ISF-BOX;AUTRES;;AUTRES
IB0701004;Embase XLR nickel mâle 3 plots;ISF-BOX;AUTRES;;AUTRES
IB0701005;Fiche ISO7638 7 contacts femelles;ISF-BOX;AUTRES;;AUTRES
IB0701006;Socle ISO7638 7 contacts mâles;ISF-BOX;AUTRES;;AUTRES
IB0701007;Socle ISO12098 15 contacts mâles;ISF-BOX;AUTRES;;AUTRES
IB0701010;COMMUTATEUR ROTATIF 1X12;ISF-BOX;AUTRES;;AUTRES
IB0701011;BOUTON COMMUTATEUR ROTATIF;ISF-BOX;AUTRES;;AUTRES
IB0702001;Embase USB Façade;ISF-BOX;AUTRES;;AUTRES
IB0702002;COUVERCLE PROTECTION USB;ISF-BOX;AUTRES;;AUTRES
IB0702003;PERIME Barette femelle droite 1 rangée de      36 plots pas 2,54 mm;ISF-BOX;AUTRES;;AUTRES
IB0703001;Embase RJ45 pour RTC;ISF-BOX;AUTRES;;AUTRES
IB0703002;PERIME Fiche modular plug mâle 6P4C (4 contacts/6 emplacements);ISF-BOX;AUTRES;;AUTRES
IB0703003;Fiche téléphonique avec connecteur RJ11 femelle;ISF-BOX;AUTRES;;AUTRES
IB0703004;Embase RJ45 avec cable réseau;ISF-BOX;AUTRES;;AUTRES
IB0704001;Contact mâle type 3M T16 pour connecteur AMP CPC;ISF-BOX;AUTRES;;AUTRES
IB0704002;Contact femelle type 3F T16 pour connecteur AMP CPC;ISF-BOX;AUTRES;;AUTRES
IB0704003;Kit capot serre-câble AMP CPC;ISF-BOX;AUTRES;;AUTRES
IB0704004;Fiche CPC mâle 37 plots AMP qualité sup. (ne pas cder 182-926);ISF-BOX;AUTRES;;AUTRES
IB0704005;PERIME Embase CPC femelle 37 plots AMP;ISF-BOX;AUTRES;;AUTRES
IB0704006;Fiche CPC femelle 37 plots AMP;ISF-BOX;AUTRES;;AUTRES
IB0704007;Connecteur mâle série CA 6+T avec capot et presse-étoupe;ISF-BOX;AUTRES;;AUTRES
IB0704008;Connecteur femelle série CA 6+T avec capot et presse-étoupe;ISF-BOX;AUTRES;;AUTRES
IB0704009;Contact mâle pour IB0704010;ISF-BOX;AUTRES;;AUTRES
IB0704010;Fiche CPC mâle 57 plots AMP;ISF-BOX;AUTRES;;AUTRES
IB0705001;Connecteur mâle SUB D à sertir sur nappe 25 broches;ISF-BOX;AUTRES;;AUTRES
IB0705002;Connecteur femelle SUB D à sertir sur nappe 9 broches;ISF-BOX;AUTRES;;AUTRES
IB0705003;Connecteur mâle SUB D à sertir sur nappe 15 broches;ISF-BOX;AUTRES;;AUTRES
IB0705004;Connecteur HE10 femelle standard;ISF-BOX;AUTRES;;AUTRES
IB0705005;Connecteur mâle SUB D à sertir sur nappe 9 broches;ISF-BOX;AUTRES;;AUTRES
IB0705006;Connecteur femelle SUB D à sertir sur nappe 25 broches;ISF-BOX;AUTRES;;AUTRES
IB0705007;HE14 Connecteur 10 fils                 pour carte relais PowerBox;;AUTRES;;AUTRES
IB0706001;Connecteur femelle coudé SUB D CI 9 broches;ISF-BOX;AUTRES;;AUTRES
IB0706002;Connecteur femelle coudé SUB D CI 25 broches;ISF-BOX;AUTRES;;AUTRES
IB0706004;Connecteur mâle droit SUB D CI 25 broches;ISF-BOX;AUTRES;;AUTRES
IB0706005;Connecteur femelle droit SUB D CI 9 broches;ISF-BOX;AUTRES;;AUTRES
IB0706006;Connecteur femelle coudé SUB D CI 15 broches;ISF-BOX;AUTRES;;AUTRES
IB0706007;Connecteur femelle droit SUB D CI 37 broches;ISF-BOX;AUTRES;;AUTRES
IB0706008;Connecteur mâle droit SUB D CI 9 broches;ISF-BOX;AUTRES;;AUTRES
IB0707001;Connecteur mâle droit SUB D à souder 37 broches;ISF-BOX;AUTRES;;AUTRES
IB0707002;Connecteur femelle droit SUB D à souder 15 broches (2 rangées);ISF-BOX;AUTRES;;AUTRES
IB0707004;Connecteur mâle droit SUB D à souder 9 broches;ISF-BOX;AUTRES;;AUTRES
IB0708001;PERIME Lot de 10 cosses mâles cylindriques pré-isolées diam. 4 mm rouge;ISF-BOX;AUTRES;;AUTRES
IB07080010;COSSE 4.8 POUR 1MM²;ISF-BOX;AUTRES;;AUTRES
IB0708002;PERIME Lot de 10 cosses femelles cylindriques isolées diam. 4 mm rouge;ISF-BOX;AUTRES;;AUTRES
IB0708003;Cosse femelle plate isolée larg. 4,8 mm;ISF-BOX;AUTRES;;AUTRES
IB0708004;Cosse femelle plate isolée larg. 6,3 mm;ISF-BOX;AUTRES;;AUTRES
IB0708005;Cosse mâle/femelle pré-isolée;ISF-BOX;AUTRES;;AUTRES
IB0708006;COSSE 4.8 2.5MM² POWERBOX;ISF-BOX;AUTRES;;AUTRES
