Référence;Désignation;Marque;Famille;Sous-famille;
IB0708007;COSSE 6.3 POUR 2.5MM² POWERBOX;ISF-BOX;AUTRES;;AUTRES
IB0708008;COSSE 4.8MM POUR 6MM²;ISF-BOX;AUTRES;;AUTRES
IB0708009;BORNIER 5 POLES POUR 2.5MM² PAR 40PCS;ISF-BOX;AUTRES;;AUTRES
IB0708010;COSSE 4.8 1 MM²;ISF-BOX;AUTRES;;AUTRES
IB0709011;CONTACT FEMELLE POUR AMP 57PLOTS;ISF-BOX;AUTRES;;AUTRES
IB0801001;PERIME Cordon fiche secteur mâle 2P+T (3G0,75 / 10 A / 250 V) / fiche fem. IEC 2;ISF-BOX;AUTRES;;AUTRES
IB0801002;PERIME Câble souple gainé noir 2x1mm;ISF-BOX;AUTRES;;AUTRES
IB0801003;PERIME Câble souple gainé noir  3x0,75 mm² (le mètre);ISF-BOX;AUTRES;;AUTRES
IB0801004;Fil souple gainé noir 1mm2 au m;ISF-BOX;AUTRES;;AUTRES
IB0801005;Fil souple gainé noir 4mm2 au m;ISF-BOX;AUTRES;;AUTRES
IB0801006;Fil souple 0,34mm2 noir au m;ISF-BOX;AUTRES;;AUTRES
IB0801007;Fil souple 0,34mm2 rouge au m;ISF-BOX;AUTRES;;AUTRES
IB0801008;Cordon secteur 2m;ISF-BOX;AUTRES;;AUTRES
IB0801009;Fil souple 0,75mm2 noir au m;ISF-BOX;AUTRES;;AUTRES
IB0801010;Fil souple 0,75mm2 rouge au m;ISF-BOX;AUTRES;;AUTRES
IB0801011;PERIME Cordon avec connecteur pour le carte du  IB0601002 raccourci à 0,25 m;ISF-BOX;AUTRES;;AUTRES
IB0801012;PERIME Cordon alimentation CM+DD+PIC;ISF-BOX;AUTRES;;AUTRES
IB0801013;Câble souple blindé gainé noir 2x1,0 mm2;ISF-BOX;AUTRES;;AUTRES
IB0801014;CORDON SECTEUR 2P+T   2.5M;ISF-BOX;AUTRES;;AUTRES
IB0801015;FIL ROUGE 1X2.5MM² POWERBOX;ISF-BOX;AUTRES;;AUTRES
IB0801016;FIL MARRON 1X2.5MM² POWERBOX;ISF-BOX;AUTRES;;AUTRES
IB0801017;FIL ROUGE 1X1.5MM² POWERBOX             AU METRE;ISF-BOX;AUTRES;;AUTRES
IB0801018;FIL NOIR 1X1.5MM² POWERBOX;ISF-BOX;AUTRES;;AUTRES
IB0801019;FIL MARRON 1X1.5MM² POWERBOX;ISF-BOX;AUTRES;;AUTRES
IB0801020;FIL JAUNE 1X1.5MM² POWERBOX;ISF-BOX;AUTRES;;AUTRES
IB0801021;FIL BLEU 1X1.5MM² POWERBOX;ISF-BOX;AUTRES;;AUTRES
IB0801022;FIL BLANC 1X1.5MM² POWERBOX;ISF-BOX;AUTRES;;AUTRES
IB0801023;FIL GRIS 1X1.5MM² POWERBOX;ISF-BOX;AUTRES;;AUTRES
IB0801024;FIL JAUNE/ROUGE 1X1.5MM² POWERBOX;ISF-BOX;AUTRES;;AUTRES
IB0801025;FIL GRIS/ROUGE 1X1.5MM² POWERBOX;ISF-BOX;AUTRES;;AUTRES
IB0801026;FIL GRIS/NOIR 1X1.5MM²POWERBOX;ISF-BOX;AUTRES;;AUTRES
IB0801027;FIL NOIR/VERT 1X1.5MM²;ISF-BOX;AUTRES;;AUTRES
IB0801028;FIL GRIS/ROUGE 1X1.5MM² POWERBOX;ISF-BOX;AUTRES;;AUTRES
IB0801029;Fiche + câble pour bouton Départ/Fin;ISF-BOX;AUTRES;;AUTRES
IB0801030;FIL VERT 1X1.5MM² POWERBOX;ISF-BOX;AUTRES;;AUTRES
IB0802001;Cordon liaison SUB D 15HD mâle vers SUB D 15 mâle long 1,80m;ISF-BOX;AUTRES;;AUTRES
IB0802002;PERIME Cordon USB A mâle vers USB A mâle long. 2 m;ISF-BOX;AUTRES;;AUTRES
IB0802003;COUSB2AM-BM Cordon USB A mâle / USB B mâle 1M80;ISF-BOX;AUTRES;;AUTRES
IB0802004;PERIME Nappe pour disque dur + adaptateur 3'1/2 vers 2'1/2;ISF-BOX;AUTRES;;AUTRES
IB0802005;PERIME Cordon USB A mâle vers USB B mâle long. 1 m raccourci à 0,50 m;ISF-BOX;AUTRES;;AUTRES
IB0802006;PERIME Cordon USB A mâle vers USB B mâle long. 1,5 m raccourci à ? m;ISF-BOX;AUTRES;;AUTRES
IB0802007;Adaptateur USB façade;ISF-BOX;AUTRES;;AUTRES
IB0802008;Adaptateur USB carte mère x2;ISF-BOX;AUTRES;;AUTRES
IB0802009;Cable usb femelle X4 vers carte mere;ISF-BOX;AUTRES;;AUTRES
IB0802010;Prolongateur USB 25cm                   USB A mâle > USB A femelle;ISF-BOX;AUTRES;;AUTRES
IB0802011;Cordon USB A mâle / USB B mâle  0,5m;ISF-BOX;AUTRES;;AUTRES
IB0802012;Cordon USB A MALE / USB A FEMELLE  0,6m;ISF-BOX;AUTRES;;AUTRES
IB0802013;Cordon USB A FEMELLE /5 PIN IDC FEMELLE CATRE MERE X2;ISF-BOX;AUTRES;;AUTRES
IB0802014;CORDON LIAISON ANTENNE / CLE WIFI USB;ISF-BOX;AUTRES;;AUTRES
IB0803001;PERIME Câble 2 paires extra-plat pour cor RJ11 (le mètre);ISF-BOX;AUTRES;;AUTRES
IB0803002;Prolongateur antenne WiFi 45cm M/F;ISF-BOX;AUTRES;;AUTRES
IB0803003;Prolongateur enrouleur 10m tél. RJ11    avec prise;ISF-BOX;AUTRES;;AUTRES
IB0803004;Prolongateur 2m tél RJ11 (fourni avec modem/routeur);ISF-BOX;AUTRES;;AUTRES
IB0803005;Adaptateur antenne wifi façade          pour démontage antenne par le client;ISF-BOX;AUTRES;;AUTRES
IB0804001;CDER IB0804016;ISF-BOX;AUTRES;;AUTRES
IB0804002;Câble DIAG Modular;ISF-BOX;AUTRES;;AUTRES
IB0804003;Câble DIAG Modal;ISF-BOX;AUTRES;;AUTRES
IB0804004;CABLE Wabco VCS1 4496120300 WA002;ISF-BOX;AUTRES;;AUTRES
IB0804005;CABLE Wabco VCS2 4496150100 WA003;ISF-BOX;AUTRES;;AUTRES
IB0804006;CABLE Wabco TEBS 4496720300 WA004;ISF-BOX;AUTRES;;AUTRES
IB0804007;PERIME Câble gainé gris 37G0,75 mm² (le mètre);ISF-BOX;AUTRES;;AUTRES
IB0804010;Câble souple gris 7G0,75 au m;ISF-BOX;AUTRES;;AUTRES
IB0804013;CDER IB0804016;ISF-BOX;AUTRES;;AUTRES
IB0804014;CALBLE DIAG EB+ G3 AUX;ISF-BOX;AUTRES;;AUTRES
IB0804015;POUR KN001;KNORR;AUTRES;;AUTRES
IB0804016;Câble pour HA004+HA006;HALDEX;AUTRES;;AUTRES
IB0805001;Câble Nappe 9 au m (cder de la nappe 25);ISF-BOX;AUTRES;;AUTRES
IB0805002;Câble Nappe 15 au m (cder de la nappe 25);ISF-BOX;AUTRES;;AUTRES
IB0805003;Câble Nappe 25 au m (cder de la nappe 25);ISF-BOX;AUTRES;;AUTRES
IB0902001;Lot de 10 résistances couche carbone 1/4 W 5% 47 Ohm;ISF-BOX;AUTRES;;AUTRES
IB0902002;Lot de 10 résistances couche carbone 1/4 W 5% 10 kOhm;ISF-BOX;AUTRES;;AUTRES
IB0902003;Résistance couche carbone 1/4 W 5% 2,2 Ohm;ISF-BOX;AUTRES;;AUTRES
IB0902004;Lot de 10 résistances couche métal 1/2 W 1% 5,1 kOhm;ISF-BOX;AUTRES;;AUTRES
IB0902005;Lot de 50 résistances couche métal 0 Ohm;ISF-BOX;AUTRES;;AUTRES
IB0902006;Lot 100 Résistances carbone 1/4W 330 Ohm;ISF-BOX;AUTRES;;AUTRES
IB0902007;Résistance 12 kOhm 1/4 W;ISF-BOX;AUTRES;;AUTRES
IB0903001;RELAIS 12 V Finder;ISF-BOX;AUTRES;;AUTRES
IB0903002;RELAIS 24 V Finder;ISF-BOX;AUTRES;;AUTRES
IB0904001;Oscillateur à Quartz 20 MHz HC18;ISF-BOX;AUTRES;;AUTRES
IB0905001;Micro-controleur PIC;ISF-BOX;AUTRES;;AUTRES
IB0906001;Support de Circuit Intégré tulipe à souder 40 plots;ISF-BOX;AUTRES;;AUTRES
IB0907001;PERIME Barrette de supports tulipe 64 pl;ISF-BOX;AUTRES;;AUTRES
IB09070010;SUPP. DE LED 5MM NOIR;ISF-BOX;AUTRES;;AUTRES
IB0907002;Voyant rouge 24 V;ISF-BOX;AUTRES;;AUTRES
IB0907003;Voyant rouge 230 V;ISF-BOX;AUTRES;;AUTRES
IB0907004;Tresse à dessouder larg. 3 mm long. 1,60 m;ISF-BOX;AUTRES;;AUTRES
IB0907005;Voyant rouge indicateur de charge       isf-power-box;ISF-BOX;AUTRES;;AUTRES
IB0907006;Voyant rouge ABS Rouge d 25mm           isf-power-box;ISF-BOX;AUTRES;;AUTRES
IB0907007;VOYANT DE CHARGE BICOLOR POWERBOX;ISF-BOX;AUTRES;;AUTRES
IB0907009;DIODE LED RADIALE 5 MM COLORIS VERT;ISF-BOX;AUTRES;;AUTRES
IB0907010;SUPP. DE LED 5MM NOIR;ISF-BOX;AUTRES;;AUTRES
IB0908001;Condensateur céramique.pas 5,08 mm 22 pF;ISF-BOX;AUTRES;;AUTRES
IB0909001;PERIME Lot de 5 opto-coupleurs;ISF-BOX;AUTRES;;AUTRES
IB0910001;Afficheur LCD 4x20 lignes rétro-éclairé;ISF-BOX;AUTRES;;AUTRES
IB0910002;Indicateur de charge de batterie        BAUSER 810 24VDC;ISF-BOX;AUTRES;;AUTRES
IB1001001;Ecrous à sertir M6 PLAQUE FOND;ISF-BOX;AUTRES;;AUTRES
IB1001002;Vis CHC d 6mm L 20 mm tête basse PIED;ISF-BOX;AUTRES;;AUTRES
IB1001003;Vis métaux tête fraisée fendue d 5mm L 12mm FACADE;ISF-BOX;AUTRES;;AUTRES
IB1001004;Ecrous acier zingué d 5mm FACADE;ISF-BOX;AUTRES;;AUTRES
IB1001005;Ecrous acier zingué d 3mm;ISF-BOX;AUTRES;;AUTRES
IB1001006;Vis CHC BTR d 4mm L 12mm CONNECT A ET B;ISF-BOX;AUTRES;;AUTRES
IB1001007;Vis métaux tête fraisée fendue d 3mm l 10mm CONNECT ALIM;ISF-BOX;AUTRES;;AUTRES
IB1001008;Ecrous acier zingué d 4mm;ISF-BOX;AUTRES;;AUTRES
IB1001010;Rivet standard acier/alu d 4mm;ISF-BOX;AUTRES;;AUTRES
IB1001011;Vis bois tête fraisée cruci d 3mm l 25mm;ISF-BOX;AUTRES;;AUTRES
IB1001013;Vis bois tête fraisée cruci d 2,5 l 16 mm;ISF-BOX;AUTRES;;AUTRES
IB1001015;Vis tête cylindrique fendue d. 3 mm long. 8 mm;ISF-BOX;AUTRES;;AUTRES
IB1001016;ENTRETOISE POUR FIXER EQUERRE;ISF-BOX;AUTRES;;AUTRES
IB1001017;ENTRETOISES x100 PVC POUR M3 0.5MM;ISF-BOX;AUTRES;;AUTRES
IB1001018;Vis tête cruci fraisée                  d5 l25 mm;ISF-BOX;AUTRES;;AUTRES
IB1001019;Entretoise pour afficheur LCD           Epaisseur 3mm;ISF-BOX;AUTRES;;AUTRES
IB11002008;GAINE THERMORETRACTABLE 2MM;ISF-BOX;AUTRES;;AUTRES
IB1101001;PERIME Perchlorure en billes à diluer dans 1 L;ISF-BOX;AUTRES;;AUTRES
IB1101002;PERIME Révélateur pour epoxy en sachet à diluer dans 1 L;ISF-BOX;AUTRES;;AUTRES
IB1102001;Gaine thermoretractable transparente diam. 9,5 / 4,75 mm long. 1,22 m;ISF-BOX;AUTRES;;AUTRES
IB1102002;Gaine thermoretractable bleu diam. 9,5 / 4,75 mm long. 1,22 m;ISF-BOX;AUTRES;;AUTRES
IB1102003;Gaine thermoretractable blanche diam. 9,5 / 4,75 mm long. 1,22 m;ISF-BOX;AUTRES;;AUTRES
IB1102004;Gaine thermoretractable rouge diam. 9,5 / 4,75 mm long. 1,22 m;ISF-BOX;AUTRES;;AUTRES
IB1102005;Gaine thermoretractable noire en rouleau d 6.4/3.2 mm au m;ISF-BOX;AUTRES;;AUTRES
IB1102006;Gaine thermoretractable noire en rouleau d 3.2/1.6 mm au m;ISF-BOX;AUTRES;;AUTRES
IB1102007;Gaine thermoretractable noire en rouleau d 19/9,5 mm au m;ISF-BOX;AUTRES;;AUTRES
IB1102008;GAINE THERMO 2 MM;ISF-BOX;AUTRES;;AUTRES
IB1103001;Ruban pour étiqueteuse DYMO écriture noir/blanc haut. 12 mm long. 7 m;ISF-BOX;AUTRES;;AUTRES
IB1105001;Gaine tressée PET 10 au m;ISF-BOX;AUTRES;;AUTRES
IB1106001;Collier Colson noir L250mm larg. 4,8 mm;ISF-BOX;AUTRES;;AUTRES
IB1106002;Collier Colson noir long. L100mm larg. 2,5 mm;ISF-BOX;AUTRES;;AUTRES
IB1106003;COLLIER COLSON TRANSP L250X2.5;ISF-BOX;AUTRES;;AUTRES
IB1108001;Bouchon pour Sub-D 15 plots antistatique;ISF-BOX;AUTRES;;AUTRES
IB1108002;BOUCHON CAPOT CLE 1 & 2;ISF-BOX;AUTRES;;AUTRES
IB1201001;Pochettes plastique A4 ép. 100 µm;ISF-BOX;AUTRES;;AUTRES
IB1201002;Cordelette rouge polypropylène diam. 4 mm - N9 (le mètre);ISF-BOX;AUTRES;;AUTRES
IB1202001;Plaquette 'Backup';ISF-BOX;AUTRES;;AUTRES
IB1202002;Vignette autocollante 'Backup';ISF-BOX;AUTRES;;AUTRES
IB1203001;Jeu de 2 x 2 stickers jaune pour caisse de transport IB0101000;ISF-BOX;AUTRES;;AUTRES
IB1203002;Jeu de 2 stickers jaune pour fligh case IB0101005;ISF-BOX;AUTRES;;AUTRES
IB1301001;Ventillateurs 12 V 60x60x10 mm;ISF-BOX;AUTRES;;AUTRES
IB1302002;Kit grille avec filtre pour ventilateur 60x60 mm;ISF-BOX;AUTRES;;AUTRES
IB1400001;Valise ABS/EBS/Eclairage                       Autonome sur batterie;ISF-BOX;AUTRES;;AUTRES
IB1400002;Valise Evolution 1 ABS/EBS/Eclairage    Autonome sur batterie;ISF-BOX;AUTRES;;AUTRES
IB1501000;Montage adaptateur M/F ISO7638;ISF-BOX;AUTRES;;AUTRES
IB1501001;Montage câble alim. 15m;ISF-BOX;AUTRES;;AUTRES
IB20AA;INDICATEUR BASSE PRESSION;KNORR;AUTRES;;AUTRES
IB20BA;INDICATEUR BASSE PRESSION;KNORR;AUTRES;;AUTRES
IB20CA;INDICATEUR BASSE PRESSION;KNORR;AUTRES;;AUTRES
IB20DA;INDICATEUR BASSE PRESSION;KNORR;AUTRES;;AUTRES
IB20EA;CONTACTEUR                              BASSE PRESSION;KNORR;AUTRES;;AUTRES
IB20FA;INDICATEUR BASSE PRESSION;KNORR;AUTRES;;AUTRES
IB20HA;INDICATEUR BASSE PRESS. 2,3;KNORR;AUTRES;;AUTRES
IB20MA;INDICATEUR BASSE PRESSION;KNORR;AUTRES;;AUTRES
IB20QA;INDICATEUR BASSE PRESSION;KNORR;AUTRES;;AUTRES
IB8D;INDICATEUR;KNORR;AUTRES;;AUTRES
IB9BY;INDICATEUR BASSE PRESSION;KNORR;AUTRES;;AUTRES
IB9CY;INDICATEUR BASSE PRESSION;KNORR;AUTRES;;AUTRES
IB9DY;INDICATEUR BASSE PRESSION;KNORR;AUTRES;;AUTRES
IB9EY;INTERRUPTEUR;KNORR;AUTRES;;AUTRES
IB9FY;INDICATEUR BASSE PRESSION;KNORR;AUTRES;;AUTRES
IBMN001;aiguille de montage;FTE;AUTRES;;AUTRES
IBN0101001;PERIME Caisse de transport lettrée sur 4 faces;ISF-BOX;AUTRES;;AUTRES
IBN0102000;Jeu de plaques PVC gris - structure ISF-BOX®;ISF-BOX;AUTRES;;AUTRES
IBN0102001;PERIME Façade 0,345x0,265 m = 0,091425 m;ISF-BOX;AUTRES;;AUTRES
IBN0102002;PERIME Fond 0,335x0,250 m = 0,08375 m;ISF-BOX;AUTRES;;AUTRES
IBN0102003;PERIME Montant NO;ISF-BOX;AUTRES;;AUTRES
IBN0102004;PERIME Montant NE;ISF-BOX;AUTRES;;AUTRES
IBN0102005;PERIME Montant SO;ISF-BOX;AUTRES;;AUTRES
IBN0102006;PERIME Montant SE;ISF-BOX;AUTRES;;AUTRES
IBN0102010;Jeu de plaques PVC gris - structure ISF-POWER-BOX®;ISF-BOX;AUTRES;;AUTRES
IBN0201001;Carte mère Jetway J7F21G5S-OC-LF;ISF-BOX;AUTRES;;AUTRES
IBN0201002;Carte mère Intel D410PT;ISF-BOX;AUTRES;;AUTRES
IBN0202001;PERIME Mémoire RAM;ISF-BOX;AUTRES;;AUTRES
IBN0203001;PERIME Disque dur;ISF-BOX;AUTRES;;AUTRES
IBN0205002;PERIME Imprimante IP 1600;ISF-BOX;AUTRES;;AUTRES
IBN0503001;PERIME Carte WiFi;ISF-BOX;AUTRES;;AUTRES
IBN0601001;PERIME Convertisseur 24 V vers 12 V;ISF-BOX;AUTRES;;AUTRES
IBN0601002;PERIME Alim. 230 V vers 5 V et 12 V;ISF-BOX;AUTRES;;AUTRES
IBN0801001;PERIME Câble ISO7638 M/F;ISF-BOX;AUTRES;;AUTRES
IBN0801002;PERIME Câble XLR;ISF-BOX;AUTRES;;AUTRES
IBN0801003;PERIME CABLE ALIMENTATION  PC 230 V;ISF-BOX;AUTRES;;AUTRES
IBN0801005;PERIME Câble+connecteur alim. 230 V;ISF-BOX;AUTRES;;AUTRES
IBN0801006;PERIME Cordon alim. CM+DD+PIC;ISF-BOX;AUTRES;;AUTRES
IBN0802001;PERIME Câble imprimante;ISF-BOX;AUTRES;;AUTRES
IBN0802002;PERIME Bouton 'Départ'/'Fin';ISF-BOX;AUTRES;;AUTRES
IBN0802004;PERIME Câble USB A / DIN façade;ISF-BOX;AUTRES;;AUTRES
IBN0803001;CABLE 12M 24VOLT XLR;ISF-BOX;AUTRES;;AUTRES
IBN0804001;WA001 BLEU Wabco;ISF-BOX;AUTRES;;AUTRES
IBN0804002;WA002 BLEU Wabco VCS1 (sur connecteur DIAGN.);ISF-BOX;AUTRES;;AUTRES
IBN0804003;WA003 BLEU Wabco VCS2 (sur connecteur MOD RD 7);ISF-BOX;AUTRES;;AUTRES
IBN0804004;WA004 BLEU Wabco TEBS C/D (sur connecteur DIAGN.);ISF-BOX;AUTRES;;AUTRES
IBN0804005;WA005 BLEU Wabco TEBS D/E (via ISO7638);ISF-BOX;AUTRES;;AUTRES
IBN0804006;KN002 ROUGE Knorr-Bremse (sur prise diag. déportée à visser OU via ISO7638);ISF-BOX;AUTRES;;AUTRES
IBN0804007;KN003 ROUGE Knorr (Périmé);ISF-BOX;AUTRES;;AUTRES
IBN0804008;HA003 BLANC Haldex EPV (sur connecteur LIFT-AXLE/K-LINE);ISF-BOX;AUTRES;;AUTRES
