FAM_0001;REF
HALDEX  ;024003409                
HALDEX  ;024003709                
HALDEX  ;024004609                
HALDEX  ;024004809                
HALDEX  ;024005009                
HALDEX  ;024005109                
HALDEX  ;024005609                
HALDEX  ;024005709                
HALDEX  ;024005809                
HALDEX  ;024006109                
HALDEX  ;024006609                
HALDEX  ;024006709                
HALDEX  ;024006809                
HALDEX  ;024006909                
HALDEX  ;024007409                
HALDEX  ;024007509                
HALDEX  ;024007909                
HALDEX  ;024008009                
HALDEX  ;024008509                
HALDEX  ;024008809                
HALDEX  ;024009109                
HALDEX  ;024009709                
HALDEX  ;024010009                
HALDEX  ;024010209                
HALDEX  ;024010309                
HALDEX  ;024010709                
HALDEX  ;024011209                
HALDEX  ;024011609                
HALDEX  ;024013509                
HALDEX  ;024013709                
HALDEX  ;024014509                
HALDEX  ;024015009                
HALDEX  ;024015109                
HALDEX  ;024016309                
HALDEX  ;024016509                
HALDEX  ;024017209                
HALDEX  ;024018709                
HALDEX  ;024020509                
HALDEX  ;024020709                
HALDEX  ;024022609                
HALDEX  ;024023309                
HALDEX  ;024023609                
HALDEX  ;024023909                
HALDEX  ;024024709                
HALDEX  ;024024809                
HALDEX  ;024025219                
HALDEX  ;024025509                
HALDEX  ;024026509                
HALDEX  ;024026609                
HALDEX  ;024026909                
HALDEX  ;024027609                
HALDEX  ;024027709                
HALDEX  ;024030109                
HALDEX  ;024030709                
HALDEX  ;024030809                
HALDEX  ;024031109                
HALDEX  ;024031409                
HALDEX  ;024032309                
HALDEX  ;024032319                
HALDEX  ;024032809                
HALDEX  ;024033409                
HALDEX  ;024033509                
HALDEX  ;024036009                
HALDEX  ;024038209                
HALDEX  ;024038309                
HALDEX  ;024039609                
HALDEX  ;024040109                
HALDEX  ;024040209                
HALDEX  ;024040509                
HALDEX  ;024041709                
HALDEX  ;024043109                
HALDEX  ;024044309                
HALDEX  ;024047409                
HALDEX  ;0240505090               
HALDEX  ;0240510090               
HALDEX  ;024052809                
HALDEX  ;024053809                
HALDEX  ;024055009                
HALDEX  ;024055109                
HALDEX  ;024055209                
HALDEX  ;024055509                
HALDEX  ;024060109                
HALDEX  ;024062009                
HALDEX  ;024063409                
HALDEX  ;024063509                
HALDEX  ;024063609                
HALDEX  ;024065609                
HALDEX  ;024072309                
HALDEX  ;024500309                
HALDEX  ;025001209                
HALDEX  ;025002109                
HALDEX  ;025003209                
HALDEX  ;025003709                
HALDEX  ;025006709                
HALDEX  ;025007509                
HALDEX  ;025009109                
HALDEX  ;025009709                
HALDEX  ;025010209                
HALDEX  ;025011809                
HALDEX  ;025011909                
HALDEX  ;025012009                
HALDEX  ;025012209                
HALDEX  ;025013109                
HALDEX  ;025013409                
HALDEX  ;025014109                
HALDEX  ;025014209                
HALDEX  ;025014409                
HALDEX  ;025015409                
HALDEX  ;025015519                
HALDEX  ;025015629                
HALDEX  ;025015719                
HALDEX  ;025015819                
HALDEX  ;025017509                
HALDEX  ;025021309                
HALDEX  ;025022609                
HALDEX  ;025025109                
HALDEX  ;025027109                
HALDEX  ;025030019                
HALDEX  ;025030209                
HALDEX  ;025031309                
HALDEX  ;025031409                
HALDEX  ;025033409                
HALDEX  ;025033609                
HALDEX  ;025033709                
HALDEX  ;025033809                
HALDEX  ;025033909                
HALDEX  ;025034009                
HALDEX  ;025034109                
HALDEX  ;025034409                
HALDEX  ;025034709                
HALDEX  ;025034809                
HALDEX  ;025034909                
